Starting training...
{'loss': 0.4442, 'learning_rate': 4.895500106632545e-05, 'epoch': 0.06}
{'loss': 0.2813, 'learning_rate': 4.788867562380039e-05, 'epoch': 0.13}
{'loss': 0.3134, 'learning_rate': 4.682235018127533e-05, 'epoch': 0.19}
{'loss': 0.2867, 'learning_rate': 4.575602473875027e-05, 'epoch': 0.26}
{'loss': 0.2897, 'learning_rate': 4.4689699296225213e-05, 'epoch': 0.32}
{'loss': 0.2591, 'learning_rate': 4.362337385370015e-05, 'epoch': 0.38}
{'loss': 0.2679, 'learning_rate': 4.255704841117509e-05, 'epoch': 0.45}
{'loss': 0.2517, 'learning_rate': 4.149072296865004e-05, 'epoch': 0.51}
{'loss': 0.2408, 'learning_rate': 4.042439752612497e-05, 'epoch': 0.58}
{'loss': 0.2746, 'learning_rate': 3.935807208359992e-05, 'epoch': 0.64}
{'loss': 0.2322, 'learning_rate': 3.829174664107486e-05, 'epoch': 0.7}
{'loss': 0.2156, 'learning_rate': 3.72254211985498e-05, 'epoch': 0.77}
{'loss': 0.2582, 'learning_rate': 3.615909575602474e-05, 'epoch': 0.83}
{'loss': 0.2406, 'learning_rate': 3.509277031349968e-05, 'epoch': 0.9}
{'loss': 0.2544, 'learning_rate': 3.402644487097462e-05, 'epoch': 0.96}
{'eval_loss': 0.20873500406742096, 'eval_accuracy': 0.91728, 'eval_f1': 0.917156822666683, 'eval_runtime': 101.1298, 'eval_samples_per_second': 247.207, 'eval_steps_per_second': 15.455, 'epoch': 1.0}
{'loss': 0.2147, 'learning_rate': 3.296011942844957e-05, 'epoch': 1.02}
{'loss': 0.1395, 'learning_rate': 3.189379398592451e-05, 'epoch': 1.09}
{'loss': 0.1306, 'learning_rate': 3.082746854339945e-05, 'epoch': 1.15}
{'loss': 0.1552, 'learning_rate': 2.976114310087439e-05, 'epoch': 1.22}
{'loss': 0.1313, 'learning_rate': 2.8694817658349333e-05, 'epoch': 1.28}
{'loss': 0.1486, 'learning_rate': 2.762849221582427e-05, 'epoch': 1.34}
{'loss': 0.1384, 'learning_rate': 2.6562166773299212e-05, 'epoch': 1.41}
{'loss': 0.1427, 'learning_rate': 2.5495841330774155e-05, 'epoch': 1.47}
{'loss': 0.1043, 'learning_rate': 2.4429515888249094e-05, 'epoch': 1.54}
{'loss': 0.1248, 'learning_rate': 2.3363190445724037e-05, 'epoch': 1.6}
