Starting training...
{'loss': 0.4594, 'learning_rate': 4.8944337811900195e-05, 'epoch': 0.06}
{'loss': 0.299, 'learning_rate': 4.7878012369375135e-05, 'epoch': 0.13}
{'loss': 0.2812, 'learning_rate': 4.682235018127533e-05, 'epoch': 0.19}
{'loss': 0.2809, 'learning_rate': 4.575602473875027e-05, 'epoch': 0.26}
{'loss': 0.297, 'learning_rate': 4.4689699296225213e-05, 'epoch': 0.32}
{'loss': 0.262, 'learning_rate': 4.362337385370015e-05, 'epoch': 0.38}
{'loss': 0.2618, 'learning_rate': 4.255704841117509e-05, 'epoch': 0.45}
{'loss': 0.2663, 'learning_rate': 4.149072296865004e-05, 'epoch': 0.51}
{'loss': 0.2399, 'learning_rate': 4.042439752612497e-05, 'epoch': 0.58}
{'loss': 0.2787, 'learning_rate': 3.935807208359992e-05, 'epoch': 0.64}
{'loss': 0.2339, 'learning_rate': 3.829174664107486e-05, 'epoch': 0.7}
{'loss': 0.2244, 'learning_rate': 3.72254211985498e-05, 'epoch': 0.77}
{'loss': 0.2468, 'learning_rate': 3.615909575602474e-05, 'epoch': 0.83}
{'loss': 0.224, 'learning_rate': 3.509277031349968e-05, 'epoch': 0.9}
{'loss': 0.2304, 'learning_rate': 3.402644487097462e-05, 'epoch': 0.96}
{'eval_loss': 0.2171500027179718, 'eval_accuracy': 0.91608, 'eval_f1': 0.9158279654951982, 'eval_runtime': 196.8823, 'eval_samples_per_second': 126.979, 'eval_steps_per_second': 7.939, 'epoch': 1.0}
{'loss': 0.201, 'learning_rate': 3.296011942844957e-05, 'epoch': 1.02}
{'loss': 0.1358, 'learning_rate': 3.189379398592451e-05, 'epoch': 1.09}
{'loss': 0.1094, 'learning_rate': 3.082746854339945e-05, 'epoch': 1.15}
{'loss': 0.1766, 'learning_rate': 2.976114310087439e-05, 'epoch': 1.22}
{'loss': 0.1244, 'learning_rate': 2.8694817658349333e-05, 'epoch': 1.28}
{'loss': 0.1546, 'learning_rate': 2.762849221582427e-05, 'epoch': 1.34}
{'loss': 0.1433, 'learning_rate': 2.6562166773299212e-05, 'epoch': 1.41}
{'loss': 0.1477, 'learning_rate': 2.5495841330774155e-05, 'epoch': 1.47}
{'loss': 0.1076, 'learning_rate': 2.4429515888249094e-05, 'epoch': 1.54}
{'loss': 0.1303, 'learning_rate': 2.3373853700149287e-05, 'epoch': 1.6}
{'loss': 0.1198, 'learning_rate': 2.2307528257624227e-05, 'epoch': 1.66}
{'loss': 0.1132, 'learning_rate': 2.124120281509917e-05, 'epoch': 1.73}
{'loss': 0.1677, 'learning_rate': 2.0185540626999362e-05, 'epoch': 1.79}
{'loss': 0.1375, 'learning_rate': 1.9119215184474302e-05, 'epoch': 1.86}
{'loss': 0.1289, 'learning_rate': 1.8052889741949245e-05, 'epoch': 1.92}
{'loss': 0.1156, 'learning_rate': 1.6986564299424184e-05, 'epoch': 1.98}
{'eval_loss': 0.25686153769493103, 'eval_accuracy': 0.93272, 'eval_f1': 0.9326758784637099, 'eval_runtime': 196.9062, 'eval_samples_per_second': 126.964, 'eval_steps_per_second': 7.938, 'epoch': 2.0}
{'loss': 0.0744, 'learning_rate': 1.5920238856899124e-05, 'epoch': 2.05}
{'loss': 0.0649, 'learning_rate': 1.4853913414374068e-05, 'epoch': 2.11}
{'loss': 0.0434, 'learning_rate': 1.3787587971849008e-05, 'epoch': 2.18}
{'loss': 0.0471, 'learning_rate': 1.2721262529323949e-05, 'epoch': 2.24}
{'loss': 0.0928, 'learning_rate': 1.1654937086798892e-05, 'epoch': 2.3}
{'loss': 0.048, 'learning_rate': 1.0588611644273833e-05, 'epoch': 2.37}
{'loss': 0.0469, 'learning_rate': 9.522286201748774e-06, 'epoch': 2.43}
